nom,heure,date,etablissement,prix,adresse,commune,geo
Le règne animal,12:55,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le règne animal,19:00,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Le règne animal,21:35,28/12,UGC CINE CITE LES HALLES,variable,101 RUE BERGER,Paris 1er Arrondissement,"48.861424,2.345829"
Migration,11:15,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Migration,14:15,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Migration,16:15,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Migration,18:10,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,11:05,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,11:05,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,14:45,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,15:55,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,17:15,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
Wonka,19:45,28/12,MK2 BIBLIOTHEQUE,variable,128 A 162 AVENUE DE FRANCE,Paris 13e Arrondissement,"48.833718,2.373922"
